Site,old_site_id,sample.date,level,temp_C,pH,ORP_mV,cond_uS,TDS_ppm,flow_rate,cells_per_ml,Fl-_ppm,Cl-_ppm,Br-_ppm,NO3-_ppm,PO4-_ppm,SO42-_ppm,Si_ppm,Sr_ppm,Fe_ppm,Mg_ppm,Al_ppm,Mn_ppm,Na_ppm,Ca_ppm,Li_ppm,K_ppm,He_nM,H2_nM,O2_nM,N2_nM,CO2_nM,ethane_nM,CH4_nM,CO_nM,Prop_nM,Fe2+_mM,Fe3+_mM,totalFe_mM,H2S_ppm,DO_mgL,S2-_ugL,Fe2+_mgL,NO3-_mgL,NH3_mgL,NO2-_mgL,Br2_mgL,SiO2_mgL,Mn_mgL,PO4_mgL,HCO3_mM,d13C.d12C,d18O.d16O,dD,d18O,citrate_ppm,acetate_ppm,formate_ppm,pyruvate_ppm
DeMMO6,B,2014-02-18,4850,21,8.25,-328,7853,6392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pending,pending,bdl,bdl,bdl,bdl
DeMMO6,Man B,2014-02-20,4850,23,7.96,-276,7985,6459,NA,NA,0.95,219.15,0.79890813,0.516,1.6,4390.06,2.1,20.1,3.5,85.4,0.1,0.58,1891,450,3.86,24,8.605,0.537,18.167,733.243,64.483,2.448,290.233,0.000,2.272,NA,NA,NA,NA,0.234,83.000,3.020,1.47,0.090,bdl,NA,10.2,bdl,0,2.629815083,-12.18841296,NA,pending,pending,bdl,bdl,bdl,bdl
DeMMO6,ManB,2013-10-18,4850,22.4,7.88,-275,7975,6471,,NA,3.0,216.4,0.0,0.0,0.0,4069.2,bdl,12,1,90,bdl,0.5,1388,346,2.4,17,4.123,0.000,1087.8,23922.0,177.9,1.378,278.500,0.000,0,NA,NA,NA,NA,2.3,36,0.74,bdl,0.1,NA,-0.03,3.6,0.7,0.03,pending,pending,pending,pending,pending,bdl,bdl,bdl,bdl
DeMMO6,ManB_Feb1,2014-02-18,4850,21,8.25,-328,7853,6392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,50.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pending,pending,bdl,bdl,bdl,bdl
DeMMO6,ManB_Feb2,2014-02-20,4850,23,7.96,-276,7985,6459,NA,NA,0.95,219.15,0.79890813,0.516,1.6,4390.06,2.1,20.1,3.5,85.4,0.1,0.6,1891.0,450.0,3.9,24.0,8.61,0.54,18.17,733.24,64.48,2.45,290.23,0.00,2.27,NA,NA,NA,NA,0.23,83.00,3.02,1.47,0.09,bdl,NA,10.20,bdl,0.00,2.63,-12.19,NA,pending,pending,bdl,bdl,bdl,bdl
DeMMO6,ManB_Oct,2013-10-18,4850,22.4,7.88,-275,7975,6471,,NA,2.97,216.39,15.62,0.00,0.00,4069.20,bdl,12.0,1.0,90.0,bdl,0.5,1388.0,346.0,2.4,17.0,4.12,0.00,1087.77,23921.99,177.89,1.38,278.50,0.00,0.00,NA,NA,NA,NA,2.30,36.00,0.74,bdl,0.10,NA,-0.03,3.60,0.70,0.03,pending,pending,pending,pending,pending,bdl,bdl,bdl,bdl
DeMMO5,site 8,2014-02-19,4850,32.8,8.46,-264,1586,1105,6.2 L/min,NA,2.88,30.95,0.0,0.0,0.0,171.31,5.8,1.3,0,6.2,0.1,0.01,1297,8.1,0.31,11.9,2.867241474,1.231031912,1996.191899,40780.25956,975.9177684,1.400076519,37.98157526,2.367220923,0.21765412,NA,NA,NA,NA,2.1,382,0.01,1.57,0.48,bdl,NA,6,0.2,0.1,12.4034165,-9.88208965,NA,pending,pending,bdl,bdl,bdl,bdl
DeMMO1,St2,2013-09-09,800,12.6,6.19,-14,978.5,691.2,3000,98,0.4,13.1,24.1,0.0,0.0,313.8,7.4,3.3,4.4,35,0.2,0.2,27.5,115.8,0.05,5.3,0.000,0.000,769.68,39425.87,675.32,0.000,0.670,0.485,0,0.11,0.01,0.12,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.83,-11.40,-16.38,-125.34,-17.12,bdl,bdl,bdl,bdl
DeMMO1,St2_Oct,2013-10-17,800,10,6.55,0,1008,715.7,3000,NA,0.66,12.54,18.65,0.00,0.00,304.37,7.1,3.2,4.2,34.0,0.2,0.2,26.6,113.0,0.1,5.2,0.00,0.00,897.64,27027.64,655.23,0.00,0.36,0.29,0.00,NA,NA,NA,NA,1.20,7.00,2.50,1.40,0.08,NA,0.63,0.00,0.30,bdl,pending,pending,pending,pending,pending,bdl,bdl,bdl,bdl
DeMMO1,St2_Sep,2013-09-09,800,12.6,6.19,-14,978.5,691.2,3000,98,0.37,13.14,24.10,0.00,0.00,313.78,7.4,3.3,4.4,35.0,0.2,0.2,27.5,115.8,0.1,5.3,0.00,0.00,769.68,39425.87,675.32,0.00,0.67,0.48,0.00,0.11,0.01,0.12,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.83,-11.40,-16.38,-125.34,-17.12,bdl,bdl,bdl,bdl
