,Site,parameter,measured
,,TESTING,
1,DeMMO1,temp (C),11.73333333
2,DeMMO2,temp (C),12.8
3,DeMMO5,temp (C),32.18
4,DeMMO6,temp (C),22.13333333
5,DeMMO1,pH,6.31
6,DeMMO2,pH,7.293333333
7,DeMMO5,pH,8.268
8,DeMMO6,pH,8.03
9,DeMMO1,ORP (mV),-9.333333333
10,DeMMO2,ORP (mV),-71.66666667
11,DeMMO5,ORP (mV),-184
12,DeMMO6,ORP (mV),-293
13,DeMMO1,cond (uS),988.3333333
14,DeMMO2,cond (uS),642.5666667
15,DeMMO5,cond (uS),1593.8
16,DeMMO6,cond (uS),7937.666667
17,DeMMO1,TDS (ppm),699.3666667
18,DeMMO2,TDS (ppm),445.0333333
19,DeMMO5,TDS (ppm),1110.8
20,DeMMO6,TDS (ppm),6440.666667
21,DeMMO1,Fl- (ppm),0.476666667
22,DeMMO2,Fl- (ppm),0.66
23,DeMMO5,Fl- (ppm),4.75
25,DeMMO1,Cl- (ppm),12.92666667
26,DeMMO2,Cl- (ppm),12.48
27,DeMMO5,Cl- (ppm),24.962
29,DeMMO1,Br- (ppm),22.28333333
30,DeMMO2,Br- (ppm),22.50333333
31,DeMMO5,Br- (ppm),35.094
33,DeMMO1,NO3- (ppm),0
34,DeMMO2,NO3- (ppm),0
35,DeMMO5,NO3- (ppm),0
37,DeMMO1,PO4-3 (ppm),0
38,DeMMO2,PO4-3 (ppm),0
39,DeMMO5,PO4-3 (ppm),0
41,DeMMO1,SO4-2 (ppm),310.65
42,DeMMO2,SO4-2 (ppm),71.54666667
43,DeMMO5,SO4-2 (ppm),177.406
45,DeMMO1,Sr (ppm),3.266666667
46,DeMMO2,Sr (ppm),1.25
47,DeMMO5,Sr (ppm),1.16
49,DeMMO1,Mg (ppm),34.66666667
50,DeMMO2,Mg (ppm),28.63333333
51,DeMMO5,Mg (ppm),5.92
53,DeMMO1,Na (ppm),27.2
54,DeMMO2,Na (ppm),37.8
55,DeMMO5,Na (ppm),727.8
57,DeMMO1,Ca (ppm),114.8666667
58,DeMMO2,Ca (ppm),47.46666667
59,DeMMO5,Ca (ppm),6.94
61,DeMMO1,Li (ppm),0.083333333
62,DeMMO2,Li (ppm),0.013333333
63,DeMMO5,Li (ppm),0.304
65,DeMMO1,K (ppm),5.266666667
66,DeMMO2,K (ppm),3.933333333
67,DeMMO5,K (ppm),12.3
69,DeMMO1,He (nM),0
70,DeMMO2,He (nM),0.388
71,DeMMO5,He (nM),1.635048295
73,DeMMO1,H2 (nM),0
74,DeMMO2,H2 (nM),0
75,DeMMO5,H2 (nM),0.587406382
77,DeMMO1,O2 (nM),812.3333333
78,DeMMO2,O2 (nM),903.3433333
79,DeMMO5,O2 (nM),1294.77838
81,DeMMO1,N2 (nM),35293.12667
82,DeMMO2,N2 (nM),29870.74333
83,DeMMO5,N2 (nM),31449.46991
85,DeMMO1,CO2 (nM),668.6233333
86,DeMMO2,CO2 (nM),491.94
87,DeMMO5,CO2 (nM),793.6955537
89,DeMMO1,ethane (nM),0
90,DeMMO2,ethane (nM),0
91,DeMMO5,ethane (nM),0.778215304
93,DeMMO1,CH4 (nM),0.566666667
94,DeMMO2,CH4 (nM),2.471666667
95,DeMMO5,CH4 (nM),32.87111505
97,DeMMO1,CO (nM),0.418333333
98,DeMMO2,CO (nM),0.897666667
99,DeMMO5,CO (nM),1.449844185
101,DeMMO1,Prop (nM),0
102,DeMMO2,Prop (nM),0
103,DeMMO5,Prop (nM),0.087530824
107,DeMMO5,DO (mg/L),3.52
108,DeMMO6,DO (mg/L),0.921333333
112,DeMMO6,S2- (ug/L),56.33333333
