Site,depth,field_trip,notes,date,annual_day,Day_since_5Dec2015,Flow_Rate_mL_per_min,Temp_C,Cond_uS,TDS_ppm,pH,ORP,NO3_ion_mg_per_L,NH4_ion_mg_per_L0,Fe2_ion_mg_per_L,S2_ion_ug_per_L,DO_mg_per_L,SO4_ion,Cl_ion,F_ion,Br_ion,Mg,Ca,Na,Si,Fe,Mn,Al,Ar,Ba,B,Li,Ni,Se,Zn,water_dD,water_dO,DOC_mg_per_L,mM_DIC,d13C_DIC,CO2_nM,C2H6_nM,CH4_nM,CO_nM,He_nM,H2_nM,CO2_ernM,C2H6_ernM,CH4_ernM,CO_ernM,He_ernM,H2_ernM
D1,800,Dec.2015,,12/7/15,341,2,,9.9,943,684.1,7.65,-99,,,,,,310,10.9,,,37.7,121,27.3,8.3,6.21,0.2,,,0.04,0.2,0.05,0.01,,,-125.7,-17.1,,,,,,,,,,,,,,,
D1,800,May.2016,,5/2/16,123,149,,10.9,956.5,684,7.93,-113,0.5,0.06,2.28,8,0.2,355,11.6,0.5,,36.7,118,26.9,7.8,5.13,0.18,,,0.04,0.2,0.05,0.02,,,,,,,,,,,,,,,,,,,
D1,800,May.2016,,5/18/16,139,165,,9.9,952.3,687,8.24,-132,0.2,0.08,2.6,0,0.05,340,11.4,0.27,,35.9,115,25.3,7.7,4.92,0.18,,,0.04,0.19,0.04,0.01,,,-123.88,-17.15,0.49,,,534.92,0,0.8,0.47,0.04,0.25,84.86,0,0.56,0.38,0.01,0.23
D1,800,Jul.2016,,7/11/16,193,219,2933,10.2,950.2,680.4,7.62,-42,0.2,0.09,2.12,0,0.1,312,10.9,0.47,,37.8,123,27.2,7.9,5.02,0.18,,,0.04,0.19,0.04,0.02,,0.01,-123.84,-17.15,0.42,4.01,-9.96,624.93,0,0.51,0.04,0.07,0.04,65.08,0,0.04,0.01,0.01,0
D1,800,Sep.2016,,9/20/16,264,290,2873.33,10.1,937,674.3,6.66,-59,0.3,0.08,2.49,0,0.12,302,10.6,0.32,,37.2,117,27.2,7.9,4.67,0.18,0.05,0.04,0.04,0.2,0.04,,,,-119,-15.8,0.45,4.13,-10.25,388.34,0,0.2,0.1,0.02,0.01,37.81,0,0.01,0.02,0,0
D1,800,Dec.2016,,12/9/16,344,370,2800,10,956.1,688.7,7.37,-96,0.2,0.07,2.27,0,0,297,11.3,0.4,,34.7,110,25.2,7.2,4.61,0.16,,,0.04,0.18,0.04,,,,-124.49,-16.62,0.4,4.22,-12.4,,,,,,,,,,,,
D1,800,Feb.2017,,2/15/17,46,438,2787,10,949.1,671.4,7.52,-120,0.3,0.06,2.33,0,,325,11.2,0.44,,37.8,118,28,7.9,4.92,0.18,,,0.04,0.18,0.05,0.01,,,-124.05,-16.67,0.43,4.3,-11.63,487.89,0,0.45,0.21,0.04,0.26,52.3,0,0.09,0.03,0,0.02
D1,800,May.2017,,5/9/17,129,521,3000,10.5,1052,758.5,6.49,-47,0.1,0.05,1.6,2,0.02,386,12.8,0.74,,40.9,134,30.7,7.8,7,0.24,,,0.04,0.26,0.05,0.02,,,-122.85,-16.73,0.4,4.15,-11.29,,,,,,,,,,,,
D1,800,Aug.2017,,8/31/17,243,635,2800,10.1,972.8,700.2,7.75,-93,0.3,0.05,1.91,2,0.04,323,12.5,0.5,,38.7,120,28.4,8,4.92,0.22,,,0.04,0.24,0.04,,,,-123.53,-16.97,0.44,4.4,-12,542.94,0,0.32,0.17,0.02,0.03,113.08,0,0.25,0.09,0,0.02
D1,800,Nov.2017,,11/30/17,334,726,516.6,10.3,993.4,715.4,7.35,-94,0.3,0.07,4.06,1,0.03,330,10.3,0.29,,39.9,127,29.9,8,5.42,0.24,,,0.04,0.26,0.05,,,,-123.92,-17.13,0.39,4.25,-11.84,533.62,0,0.62,0.2,0.05,0.12,37.54,0,0.02,0.01,0,0.01
D1,800,Apr.2018,,4/18/18,108,865,3000,10.5,1045,756,5.83,-68,0.3,0.06,2.32,6,0.03,393,15.8,0.66,,42,138,32.4,8.3,6.08,0.29,,,0.04,0.34,0.05,,,,-123.57,-17.07,0.47,3.81,-11.15,,,,,,,,,,,,
D1,800,Sep.2018,,9/1/18,244,1001,2966,10.6,980.3,701.1,5.95,-78,0.3,0.08,2.68,0,0.04,360,12.6,0.49,,38.1,121,28.6,8,5.2,0.22,,,0.04,0.28,0.04,0.01,,,-124.34,-17.45,0.42,4.46,-11.21,,,,,,,,,,,,
D2,800,Dec.2015,,12/7/15,341,2,,12.7,623.6,440.9,8.26,-192,,,,,,87.4,16.4,0.79,,29.3,46.5,39,5.1,0.42,0.05,,0.06,0.13,0.07,0.04,,,,-129.2,-17.6,,,,,,,,,,,,,,,
D2,800,May.2016,,5/2/16,123,149,,,,,,,0.5,0,0.28,62,0.12,79.6,16.1,0.77,,28,44.1,36.9,4.8,0.3,0.05,,0.05,0.14,0.07,0.04,,,,,,0.48,,,,,,,,,,,,,,
D2,800,May.2016,,5/18/16,139,165,250,12.6,605.1,427.5,7.94,-101,0.1,0.02,0.29,7,0.3,80.9,16,0.77,,27.6,43.8,36,4.8,0.32,0.04,,0.04,0.13,0.06,0.03,,,,-127.41,-17.59,0.52,,,422.49,0,0.28,0.19,0.01,0.11,59.03,0,0.06,0.04,0,0.02
D2,800,Jul.2016,,7/11/16,193,219,295,12.5,618.5,436.7,8.12,-150,0.2,0.02,0.31,16,0.22,84.5,16.1,0.81,,29.9,48.2,39.8,4.9,0.4,0.04,,,0.13,0.06,0.03,,,,-127.66,-17.66,0.42,4.8,-9.73,476.19,0,0.43,0.05,0.02,0.04,49.99,0,0.02,0.01,0,0
D2,800,Sep.2016,,9/20/16,264,290,320,12.4,616.9,435.5,7.5,-98,0,0.02,0.25,32,0.28,82.3,16,0.82,,28.9,46,38.9,4.9,0.36,0.05,0.04,0.04,0.13,0.07,0.04,,,,-126,-17.1,0.41,4.93,-9.53,329.7,0,0.21,0.42,0.01,0.32,30.02,0,0.01,0.04,0,0.03
D2,800,Dec.2016,,12/9/16,344,370,300,12.5,626.5,443.5,7.72,-93,0.1,0.03,0.31,29,0.54,80.3,16.1,0.8,,27.2,43.7,37.2,4.6,0.26,0.04,,0.05,0.12,0.07,0.03,,,,-127.63,-17.11,0.39,4.84,-10.22,383.8,0,0.31,0.09,0.02,0.09,57.38,0,0.01,0.01,0,0.02
D2,800,Feb.2017,,2/15/17,46,438,300,12.5,630.3,444.8,7.67,-97,0.2,0.02,0.32,16,0.56,91.2,17,0.84,,29.9,47.1,40.1,5,0.35,0.05,,0.05,0.13,0.06,0.04,,,,-127.26,-17.19,0.42,4.02,-10.74,444.24,0,0.29,0.21,0.02,0.23,94.41,0,0.05,0.04,0,0.02
D2,800,May.2017,,5/9/17,129,521,600,12.5,608.2,429.6,7.27,-93,0.3,0.01,0.3,12,0.48,83.8,16.7,0.86,,29.3,45.8,38.7,4.9,0.34,0.05,,,0.14,0.07,0.04,,,,-126.65,-17.18,0.39,4.81,-10.48,365.78,0,0.4,0.04,0.02,0.06,16.12,0,0.09,0,0,0
D2,800,Aug.2017,,9/1/17,244,636,300,12.5,622.2,439.4,7.84,-151,0.4,0.03,0.3,21,,85.5,17.3,0.89,,30.2,46.6,39,5,0.34,0.05,,,0.13,0.08,0.03,,,,-127.2,-17.32,0.42,4.85,-10.93,470.32,0,0.59,0.11,0.02,0.02,44.93,0,0.07,0.02,0,0
D2,800,Nov.2017,,11/30/17,334,726,350,12.4,622.5,439.7,7.9,-152,0.2,0.02,0.29,21,0.63,81.5,16.7,0.77,,30.2,47.6,38.6,5,0.31,0.05,,0.05,0.13,0.08,0.04,,,,-127.69,-17.57,0.36,4.85,-10.74,334.51,0,0.41,0.3,0.01,0.26,7.5,0,0,0.01,0,0.01
D2,800,Apr.2018,,4/18/18,108,865,300,12,609.4,430.4,7.44,-100,0.3,0.03,0.31,0,0.05,84.8,18.5,0.8,,31.4,49,40.1,5.4,0.35,0.05,,0.05,0.14,0.08,0.04,,,,-127.15,-17.55,0.39,4.02,-10.44,,,,,,,,,,,,
D2,800,Sep.2018,,9/1/18,244,1001,275,12.3,623.8,440.6,6.23,-49,0.2,0.03,0.31,0,,97.4,20.4,0.81,0.11,29.9,45.9,38.6,5,0.32,0.05,,,0.13,0.06,0.03,,,,-127.75,-17.85,0.38,5,-10.42,,,,,,,,,,,,
D3,2000,Dec.2015,,12/9/15,343,4,,16.3,3044,2321,7.35,-20,,,,,,1640,7.87,0.45,,237,357,98.1,6.2,1.53,0.27,,,0.03,0.15,0.14,,,,-122.31,-16.87,,,,,,,,,,,,,,,
D3,2000,May.2016,before drilling,5/5/16,126,152,,16.3,3026,2309,7.19,-53,0.5,0.27,2.32,14,1.6,1780,7.65,0.49,,232,342,98.6,6.1,2.9,0.26,0.05,0.05,0.03,0.14,0.12,,,,,,0.25,,,,,,,,,,,,,,
D3,2000,May.2016,after drilling,5/5/16,126,152,,16.7,3040,2323,7.27,-22,0.3,0.22,2.45,0,1.4,,,,,238,355,101,6.3,2.92,0.27,0.04,,0.03,0.14,0.12,,,0.01,,,0.26,,,,,,,,,,,,,,
D3,2000,May.2016,packer day,5/16/16,137,163,1400,16.1,3048,2302,7.94,14,0.8,0.24,1.8,7,3.1,1880,7.73,0.51,,232,351,97.7,6.3,1.97,0.27,,,0.03,0.13,0.12,,,,-121.08,-16.9,0.34,,,2163.19,0,1.44,0.08,0.01,0.07,105.53,0,0.09,0,0,0.01
D3,2000,Jul.2016,,7/12/16,194,220,1250,16.1,3036,2310,7.42,52,0.2,0.21,2.83,0,0.01,1610,7.6,0.51,,250,374,108,6.6,3.27,0.27,,,0.03,0.12,0.12,,0.05,0.01,-121.32,-16.89,0.26,6.54,-2.37,2132.27,0.02,6.84,0.04,0.15,0.12,53.78,0,0.23,0,0.01,0
D3,2000,Sep.2016,,9/21/16,265,291,1346,16.1,2998,2281,7.03,-42,0.3,0.31,2.71,8,0.03,1590,0,0,,236,352,108,6.5,3.18,0.28,0.06,,0.03,0.13,0.12,,,,-120,-16.3,0.23,9.59,-5.28,2541.77,0,5.91,0.58,0.15,0.46,229.64,0,0.38,0.01,0.01,0.04
D3,2000,Dec.2016,,12/8/16,343,369,3500,16.2,3036,2313,7.27,-30,0.2,0.28,2.92,0,0.15,1540,12.3,0,,226,326,97.1,5.9,2.85,0.25,,,0.03,0.12,0.11,,,,-121.23,-16.35,0.26,10.36,-7.31,1602.51,0,4.06,0.19,0.11,0.23,248.57,0,0.62,0.03,0,0.01
D3,2000,Feb.2017,,2/16/17,47,439,1400,16.3,3029,2305,7.04,-57,0.1,0.2,2.58,14,0.02,1610,0,0,,242,347,111,6.6,3.1,0.28,0.06,,0.03,0.12,0.13,,,,-120.82,-16.4,0.21,8.04,-7.53,2958.78,0,5.64,0.15,0.17,0.13,2.2,0,0.03,0,0,0
D3,2000,May.2017,,5/11/17,131,523,1200,16.2,3039,2313,6.89,-39,0.3,0.21,2.3,21,0.03,1610,0,1.38,,235,345,113,6.4,2.98,0.27,,,0.03,0.15,0.13,,,,-120.03,-16.31,0.21,12.61,-7.82,1029.7,0,1,0.05,0.04,0.07,107.01,0,0.12,0.01,0,0
D3,2000,Aug.2017,,8/30/17,242,634,1300,16.1,3048,2323,6.23,-45,0.3,0.24,2.72,19,0.03,1630,0,0,,243,351,112,6.6,2.98,0.28,,,0.03,0.15,0.12,,,,-121.15,-16.72,0.29,11.3,-8.59,2570.66,0,5.22,1.19,0.14,1.04,152.38,0,0.3,0.08,0.01,0.06
D3,2000,Nov.2017,,11/27/17,331,723,850,16.2,3057,2330,6.54,-68,0.3,0.21,2.8,16,0,1660,0,0,,242,358,114,6.6,3.08,0.28,0.05,,0.03,0.14,0.12,,,,-121.48,-16.9,0.18,11.25,-8.5,1721.32,0,4.18,0.06,0.11,0.01,166.13,0,0.37,0.01,0.01,0
D3,2000,Apr.2018,,4/17/18,107,864,4600,16.1,3082,2349,7.13,-61,0.3,0.21,2.86,5,0.03,1800,17,,,256,370,118,7,3.3,0.3,0.03,,0.03,0.14,0.14,,,,-121.49,-16.78,0.25,9.46,-7.42,,,,,,,,,,,,
